"cobacia","S1_ivv_nu","S2_ivv_nu","S3_ivv_classe","S4_ivv_nu","floresta","monitorado","estacoes","escolas","alunos","docentes","risco"
75141431,1.27126852023624e-06,0,"1",0.414,2.25,"no",0,1,227,11,0
75141446,3.34262229838082e-06,0,"1",0.408,4.941,"no",0,1,144,10,0
75141468,1.35927673559296e-06,0,"1",0.396,8.2404,"yes",0,1,138,10,0
75141473,29.9673841823714,0,"1",0.408,2.9637,"no",0,1,193,15,0
75141582,1.92970323500758e-06,0,"3",0.414,0.0414,"no",0,3,1440,63,0
75141583,2.97738622918216e-06,0,"1",0.433,9.2349,"no",0,3,1088,47,0
75141593,1.83274462800602e-06,0,"3",0.416,0.6084,"no",0,3,1250,69,0.017
75141763,1.77921186969542e-06,0,"1",0.412,7.6653,"no",0,1,166,14,0
75141821,1.69127407154052e-06,0,"1",0.411,0.7254,"yes",0,2,523,23,0.076
75141865,4.68199219415255e-06,0,"1",0.422,6.4764,"no",1,2,523,30,0
75141873,4.48933809019417e-06,0,"1",0.429,3.8475,"no",0,1,482,27,0
75141875,1.89847467209017e-05,0,"1",0.429,0.1215,"no",0,3,1538,68,0
75141922,2.7659365921869e-06,0,"1",0.377,2.2959,"yes",0,1,271,8,0.067
75141923,2.22183630796985e-06,0,"1",0.417,0.7434,"yes",0,1,1470,40,0.067
75141924,6.65822007384593e-06,0,"1",0.377,1.1061,"yes",0,1,621,26,0
75141927,1.35189671589461e-06,0,"1",0.389,25.6239,"yes",1,3,1204,41,0
75141942,4.27454292540513e-06,0,"1",0.417,0.162,"yes",0,2,994,58,1.315
75141961,1.31174314806113e-05,0,"1",0.377,3.1383,"yes",0,19,8269,360,0.594
75141964,1.20849152888689e-06,0,"1",0.389,8.9145,"yes",0,1,165,19,0
75142211,1.87039490737636e-06,0,"1",0.421,6.7149,"yes",0,1,122,13,0
75142395,0.0012871453373464,0,"1",0.429,1.0422,"yes",0,1,250,12,0
75142461,7.64761980871296e-06,0,"1",0.43,0.6984,"yes",0,1,805,36,0
75142618,2.55911883074687e-05,0,"1",0.425,1.0746,"no",0,1,159,16,0
75142648,3.943650671043e-06,0,"1",0.44,3.3138,"no",0,1,268,19,0
75142694,2.58199527249739e-06,0,"3",0.444,6.3288,"no",0,1,51,3,0
75142695,1.70929284504276e-06,0,"3",0.43,20.3256,"no",0,1,163,13,0
75142729,4.6976788217409e-06,0,"1",0.376,11.3535,"yes",0,1,201,17,0
75142789,1.02702308982481e-05,0,"1",0.37,8.8515,"no",0,2,593,45,0
75142844,2.30887299838675e-05,0,"1",0.42,1.0332,"yes",0,1,289,23,0.067
75142851,2.07271303727276e-05,0,"1",0.415,3.7215,"yes",0,7,1741,124,0.301
75142863,4.39789363626853e-06,0,"1",0.443,5.2074,"yes",0,1,67,5,0
75142891,2.41273981382005e-06,0,"1",0.447,1.4562,"no",0,2,571,29,0
75142892,1.84242883422935e-06,0,"1",0.448,2.4075,"no",0,1,472,27,0
75142921,5.69720480491613e-06,0,"1",0.377,14.2623,"yes",0,1,124,11,0
75142948,1.68104287350185e-06,0,"1",0.414,2.8107,"no",0,1,85,6,0
75142961,2.534777576441e-06,0,"1",0.412,10.647,"no",0,1,152,14,0
75142963,1.72107638878674e-06,0,"1",0.414,1.3563,"no",0,1,99,7,0
75142981,2.78147097367303e-06,0,"1",0.447,2.3256,"no",0,1,369,20,0
75142982,2.20732752117613e-06,0,"1",0.447,1.2186,"no",0,2,751,62,0
75142985,1.4047232741611e-06,0,"1",0.448,16.2252,"no",0,1,60,5,0
75144136,1.3747975015347e-06,0,"1",0.421,5.2434,"no",0,1,103,7,0
75144291,0.00954869080138753,0,"1",0.454,0.2538,"no",0,1,129,9,0
75144435,1.59798382901351e-05,0,"1",0.468,0.432,"no",0,1,183,10,0
75144513,88.6979632723763,0,"1",0.465,0.4374,"no",0,1,87,4,0
75144532,8.72628827928736e-05,0,"1",0.471,3.2769,"no",0,1,221,11,0
75144875,8.2585720879061e-07,0,"1",0.529,2.6226,"no",0,1,90,12,0
75145272,2.76105458996374e-06,0,"1",0.473,3.3876,"no",0,4,1275,84,0
75145275,4.49891506229484e-06,0,"1",0.473,0.0396,"no",0,4,1200,79,0
75145276,4.41310112822295e-06,0,"1",0.472,3.0402,"no",0,2,469,22,0
75145277,3.48702302311162e-06,0,"1",0.473,0.1134,"no",0,1,433,24,0
75145613,2.76948700236613e-06,0,"1",0.432,11.7567,"no",0,1,210,18,0
75145621,3.71922161385697e-06,0,"1",0.437,3.7044,"no",0,1,406,23,0
75145643,5.1565301853821e-06,0,"1",0.44,3.5289,"no",0,1,66,8,0
75145645,9.00127751531794e-06,0,"1",0.443,5.0535,"no",0,1,56,5,0
75145664,2.46507914716337e-06,0,"1",0.443,4.3722,"no",0,2,252,20,0
75145683,3.66706842314383e-06,0,"1",0.445,0.8028,"no",0,1,35,4,0
75145693,3.83796326866264e-06,0,"1",0.445,0.6453,"no",0,1,136,10,0
75145882,2.11319591129593,0,"1",0.445,3.1401,"no",0,1,83,8,0
75146111,3.46584850993296e-06,0,"1",0.43,3.0087,"no",0,1,107,8,0
